id;spec;job_title;city;employer;schedule;experience;published;salary_from;salary_to;currency;skills
76380382;Финансовый аналитик;Финансовый/инвестиционный аналитик;Краснодар;Финсмарт;;;2023-04-06;50000;100000;RUR;грамотная речь, работа с большим объемом информации, публичные выступления, обучение персонала, деловое общение
78109542;Финансовый аналитик;Финансовый аналитик;Сочи;Гармония Здоровья;;;2023-04-03;65000;;RUR;
78795028;Финансовый аналитик;Финансовый аналитик/менеджер в г. Сухум (Абхазия);Сочи;Салоны мебели и интерьера Домино;;;2023-04-01;70000;110000;RUR;
78667776;Финансовый аналитик;Финансовый аналитик;Краснодар;МАГНИТ, Розничная сеть;;;2023-03-29;;;;
78752032;Финансовый аналитик;Аналитик (Финансовый блок операционных расходов);Краснодар;МАГНИТ, Розничная сеть;;;2023-03-31;;70000;RUR;работа с большим объемом информации, финансовая отчетность, план-фактный анализ бюджета, продвинутый пользователь ms excel, анализ финансовых показателей
76455483;Финансовый аналитик;Финансовый аналитик;Сочи;Образовательный Фонд Талант и успех;;;2023-03-28;;;;анализ финансовых показателей, аналитические навыки, продвинутый пользователь ms excel, powerpoint, excel, финансовый анализ
77372627;Финансовый аналитик;Финансовый аналитик (экономист);Краснодар;КубаньОптПродТорг;;;2023-03-26;;;;
77870474;Финансовый аналитик;Финансовый аналитик;Новороссийск;Миллениум, ГК;;;2023-03-28;50000;50000;RUR;
77735156;Финансовый аналитик;Аналитик отдела финансового анализа транспортной логистики;Краснодар;МАГНИТ, Розничная сеть;;;2023-03-22;;;;ms excel, факторный анализ, анализ бизнес показателей
78012982;Финансовый аналитик;Финансовый аналитик / эксперт по финансовому моделированию;Краснодар;ДПО Пластик;;;2023-03-14;;;;
77701481;Финансовый аналитик;Экономист/финансовый аналитик;Краснодар;Кадровое агентство HR-Integrator;;;2023-03-13;;;;план-фактный анализ бюджета, управленческая отчетность, формирование управленческой отчетности, бюджетирование, анализ финансовых показателей, бюджетирование и планирование, финансовая отчетность, ms excel
75993922;Финансовый аналитик;Ведущий аналитик отдела финансового анализа транспортной логистики;Краснодар;МАГНИТ, Розничная сеть;;;2023-03-14;;;;ms excel, факторный анализ, управленческая отчетность, формирование бюджета
78928836;Финансовый аналитик;Финансовый аналитик/Руководитель проекта;Махачкала;Вертекс Капитал Групп;;;2023-04-05;60000;70000;RUR;swot анализ, business planning, управление проектами, 1с
78898611;Финансовый аналитик;Финансовый аналитик;Белгород;Автомаркет;;;2023-04-06;150000;;RUR;анализ текущих финансовых показателей, контроль и анализ ценообразования, аналитическое мышление, экономический анализ, экономическое моделирование
78610547;Финансовый аналитик;Финансовый аналитик / Финансовый директор;Брянск;АртСтекло;;;2023-03-30;;100000;RUR;расчет себестоимости, экономический анализ, microsoft office, 1с: склад, баланс, высшее образование, навыки составления отчетности, анализ финансовых показателей, расчет и анализ себестоимости продукции и услуг, анализ текущих финансовых показателей, контроль и анализ ценообразования
78002194;Финансовый аналитик;Финансовый аналитик (Людиново);Брянск;Kronospan (Кроношпан);;;2023-03-23;;;;ms powerpoint, ms outlook, 1c: бухгалтерия, английский язык, управленческая отчетность
78954145;Финансовый аналитик;Финансовый аналитик;Воронеж;МАГНИТ, Розничная сеть;;;2023-04-05;;;;
78795025;Финансовый аналитик;Финансовый аналитик/менеджер в г. Сухум (Абхазия);Воронеж;Салоны мебели и интерьера Домино;;;2023-04-01;70000;110000;RUR;
76481329;Финансовый аналитик;Аналитик (финансовый блок);Воронеж;КДМ;;;2023-04-06;60000;80000;RUR;power bi, оптимизация бизнес-процессов, sql, управление проектами, анализ данных
78632321;Финансовый аналитик;Старший финансовый аналитик;Воронеж;PepsiCo;;;2023-03-28;;;;
68227178;Финансовый аналитик;Финансовый аналитик;Воронеж;Новапласт;;;2023-03-27;50000;60000;RUR;кредиторская задолженность, дебиторская задолженность, казначейство, ms powerpoint, кредитные договоры
78961854;Финансовый аналитик;Финансовый аналитик;Обнинск;Sintec Group;;;2023-04-05;;;;ms excel, аналитика
